    Data - Descrição
    01/01/2018 - Ano Novo
    25/01/2018 - Aniversário da Cidade
    12/02/2018 - Carnaval
    13/02/2018 - Carnaval
    14/02/2018 - Carnaval
    30/03/2018 - Sexta feira Santa
    21/04/2018 - Dia de Tiradentes
    01/05/2018 - Dia do Trabalho
    31/05/2018 - Corpus Christi
    09/07/2018 - Revolução Constitucionalista
    07/09/2018 - Independência do Brasil
    12/10/2018 - Nossa Senhora Aparecida
    15/10/2018 - Dia do Professor
    28/10/2018 - Dia do Servidor Público
    02/11/2018 - Dia de Finados
    02/11/2018 - Finados
    15/11/2018 - Proclamação da República
    20/11/2018 - Dia da Consciência Negra
    25/12/2018 - Natal
